metric_id,channel_id,month,impressions,clicks,leads_generated,conversions,revenue,cost,roi,ctr,conversion_rate,cost_per_lead,cost_per_conversion,avg_order_value
1_2024-12,1,2024-12,480649,47297,896,24,4330,25649,7.91,0.0179,0.0612,125.13,357.22,1056.27
1_2024-12,1,2024-12,510924,47954,554,425,36778,23619,5.01,0.1099,0.1568,133.59,491.1,826.27
1_2024-11,1,2024-11,427130,39843,546,251,34285,45017,7.14,0.0888,0.237,19.88,504.08,545.02
1_2024-10,1,2024-10,762877,44558,692,179,53408,21327,3.14,0.1252,0.0602,147.74,478.56,1457.48
1_2024-09,1,2024-09,498125,42654,268,117,87474,11658,2.94,0.0536,0.0666,18.04,156.9,1890.65
1_2024-08,1,2024-08,578140,42317,1643,22,14596,20755,5.49,0.0843,0.2204,83.25,185.21,718.09
1_2024-07,1,2024-07,810908,45632,1111,407,46858,4419,6.7,0.1493,0.2171,88.17,961.87,1113.69
1_2024-06,1,2024-06,170733,30108,591,452,64402,31609,6.97,0.0766,0.163,118.06,98.18,636.59
1_2024-05,1,2024-05,638441,28444,291,108,38665,25908,4.89,0.0411,0.1238,123.34,719.75,1639.83
1_2024-04,1,2024-04,231365,19344,68,255,66035,5123,1.34,0.0213,0.1144,31.59,196.22,1116.05
1_2024-03,1,2024-03,368560,31094,339,252,68895,44720,7.12,0.0377,0.2096,104.5,740.74,1292.53
1_2024-02,1,2024-02,293366,10588,1044,220,29510,11403,5.12,0.1226,0.0909,72.67,915.98,1384.68
2_2024-12,2,2024-12,657331,42193,574,228,14444,43946,5.71,0.0902,0.2404,73.19,464.89,418.13
2_2024-12,2,2024-12,614528,46492,540,374,34167,13381,0.91,0.1342,0.0743,39.87,443.76,540.16
2_2024-11,2,2024-11,798305,21980,549,41,38721,22801,0.79,0.0957,0.2214,182.78,556.09,519.58
2_2024-10,2,2024-10,633602,23733,1579,287,76965,45642,7.88,0.1291,0.2365,180.18,618.48,1803.06
2_2024-09,2,2024-09,410840,785,27,189,38093,21341,5.78,0.0873,0.128,108.24,900.21,901.72
2_2024-08,2,2024-08,930616,45747,1537,188,16971,9770,1.2,0.1142,0.1293,98.01,977.08,1005.75
2_2024-07,2,2024-07,303079,26855,1605,436,44241,16142,3.96,0.1319,0.1477,178.58,407.16,567.19
2_2024-06,2,2024-06,845020,34958,348,201,11091,44277,1.11,0.0451,0.2078,154.56,727.19,697.58
2_2024-05,2,2024-05,648185,45046,923,328,15825,23469,2.73,0.1094,0.1737,22.3,958.58,318.94
2_2024-04,2,2024-04,666487,40404,1629,391,44205,31024,2.72,0.01,0.1293,132.09,181.37,340.02
2_2024-03,2,2024-03,619323,18710,1824,216,39894,38358,7.95,0.1417,0.0588,50.06,568.74,1529.05
2_2024-02,2,2024-02,306275,2199,1360,353,90988,36520,5.03,0.0778,0.0962,18.95,680.41,1690.78
3_2024-12,3,2024-12,922336,33856,1028,41,68977,39016,6.68,0.1167,0.1203,180.12,816.89,1854.16
3_2024-12,3,2024-12,766638,26041,750,479,45614,47812,1.79,0.0451,0.2459,81.68,522.46,1029.82
3_2024-11,3,2024-11,500002,34549,757,49,27012,46291,7.96,0.0861,0.2465,43.29,676.86,558.81
3_2024-10,3,2024-10,20684,19532,855,423,84656,48822,3.53,0.0995,0.2067,135.69,581.42,465.01
3_2024-09,3,2024-09,353277,42870,189,343,78375,29908,7.7,0.1136,0.0642,96.65,887.94,158.42
3_2024-08,3,2024-08,137999,44359,1696,387,31749,20560,5.99,0.1084,0.1573,94.31,104.37,1438.14
3_2024-07,3,2024-07,675310,31446,1392,170,73621,27125,0.56,0.0658,0.0162,116.68,67.41,328.6
3_2024-06,3,2024-06,205898,46305,766,347,74701,9723,1.02,0.1145,0.0277,99.07,595.18,1364.39
3_2024-05,3,2024-05,725238,14276,522,171,90948,45877,4.62,0.0696,0.2372,127.91,158.54,1460.59
3_2024-04,3,2024-04,464509,36456,1685,353,71388,48112,2.19,0.1233,0.0108,28.08,786.86,536.8
3_2024-03,3,2024-03,735586,43369,1365,114,23636,26565,4.64,0.0809,0.0759,162.27,954.0,337.77
3_2024-02,3,2024-02,592464,28942,65,280,21839,7021,2.65,0.0187,0.0507,163.38,136.45,1531.05
4_2024-12,4,2024-12,641071,35701,621,75,92465,11651,0.93,0.1196,0.1126,154.54,984.93,1517.75
4_2024-12,4,2024-12,578971,43779,1794,74,72666,37805,2.44,0.0803,0.0415,68.25,711.74,568.28
4_2024-11,4,2024-11,948109,27347,1119,413,22516,35682,5.17,0.0881,0.1037,191.38,85.13,1619.19
4_2024-10,4,2024-10,662430,43540,1339,14,94879,13057,4.8,0.0356,0.0226,64.1,993.55,368.12
4_2024-09,4,2024-09,134981,40275,1583,122,77520,33490,3.7,0.0217,0.2074,31.28,110.26,1261.77
4_2024-08,4,2024-08,171581,18031,526,163,88995,9003,4.52,0.0867,0.2248,197.96,484.88,843.75
4_2024-07,4,2024-07,412919,43307,999,234,10479,23370,7.52,0.0662,0.1113,131.09,198.87,1969.29
4_2024-06,4,2024-06,417561,25531,902,294,34492,26636,6.98,0.0183,0.0715,161.4,418.35,553.68
4_2024-05,4,2024-05,328423,43461,330,327,74180,12743,4.73,0.0921,0.191,39.93,382.53,377.31
4_2024-04,4,2024-04,303357,2980,984,491,24967,2241,0.63,0.144,0.2159,77.19,453.03,1761.42
4_2024-03,4,2024-03,817975,37299,385,13,2387,38414,5.88,0.1178,0.1857,173.58,700.82,1120.95
4_2024-02,4,2024-02,523174,10575,1473,348,81500,31053,3.61,0.0815,0.0886,33.16,566.67,848.12
5_2024-12,5,2024-12,417660,34002,742,462,14262,36626,5.29,0.052,0.0301,122.5,949.43,171.75
5_2024-12,5,2024-12,584926,13209,1153,490,43533,41948,0.76,0.0552,0.0105,65.46,518.67,296.64
5_2024-11,5,2024-11,308534,49091,1264,201,89838,36617,2.93,0.1167,0.1612,61.76,903.98,1142.24
5_2024-10,5,2024-10,904328,3299,1804,74,34604,15093,3.09,0.0668,0.0421,198.88,539.81,901.42
5_2024-09,5,2024-09,383117,27418,1792,325,31052,33307,4.66,0.0744,0.1999,61.38,606.93,576.41
5_2024-08,5,2024-08,801471,1698,223,41,14661,5537,4.88,0.1438,0.2058,14.35,922.48,463.35
5_2024-07,5,2024-07,369764,26799,288,8,14503,33633,6.03,0.148,0.0513,16.2,559.91,286.67
5_2024-06,5,2024-06,162833,14124,1158,379,87303,26140,7.85,0.1413,0.0801,66.37,709.32,1966.97
5_2024-05,5,2024-05,187208,37785,1389,326,75925,33300,3.54,0.0329,0.0282,11.89,386.68,268.78
5_2024-04,5,2024-04,657626,43985,1663,183,32560,46794,0.58,0.0604,0.237,81.75,143.9,1544.84
5_2024-03,5,2024-03,52370,4159,855,243,69329,32848,5.48,0.1331,0.1896,148.54,542.94,1374.68
5_2024-02,5,2024-02,267827,38819,856,389,96751,15498,5.09,0.0991,0.21,69.84,704.27,681.88
6_2024-12,6,2024-12,852112,6109,1116,469,88371,14458,6.83,0.0879,0.1576,42.48,886.47,1020.24
6_2024-12,6,2024-12,745346,21312,350,277,25639,8733,0.8,0.0466,0.141,15.42,529.62,1711.61
6_2024-11,6,2024-11,308157,2129,1293,426,15256,22281,0.64,0.0325,0.0687,177.65,374.87,1838.36
6_2024-10,6,2024-10,83040,12993,702,332,50179,37182,5.78,0.0314,0.0261,29.38,880.7,1859.4
6_2024-09,6,2024-09,676674,9104,898,414,42562,49957,6.12,0.1355,0.0741,89.94,716.67,1509.81
6_2024-08,6,2024-08,844143,1144,651,73,30422,25813,3.9,0.0384,0.2411,47.78,541.26,1356.82
6_2024-07,6,2024-07,291076,11108,164,48,39080,43650,1.26,0.0756,0.0506,77.28,961.14,1935.49
6_2024-06,6,2024-06,180405,46312,1209,301,65866,36677,3.07,0.0116,0.0674,175.55,217.64,1785.41
6_2024-05,6,2024-05,846026,8946,40,407,17510,41913,2.29,0.0989,0.0473,194.56,530.46,1896.76
6_2024-04,6,2024-04,691340,15778,366,373,64872,32250,7.44,0.0858,0.0913,81.55,938.42,803.88
6_2024-03,6,2024-03,950501,35023,1221,101,74680,792,1.11,0.1435,0.0998,124.87,951.91,174.36
6_2024-02,6,2024-02,152613,11841,1011,235,36828,38916,7.08,0.106,0.0784,196.75,86.89,1572.07
7_2024-12,7,2024-12,26974,15084,423,468,14265,34781,0.57,0.0575,0.1687,45.49,229.3,664.13
7_2024-12,7,2024-12,765081,10465,387,1,19708,10190,6.53,0.041,0.2354,120.71,189.62,1470.79
7_2024-11,7,2024-11,481834,45790,1336,185,26444,38468,7.66,0.1302,0.0461,189.2,876.47,1177.9
7_2024-10,7,2024-10,841432,14082,1654,279,91800,45473,4.47,0.0312,0.0415,148.75,309.09,544.31
7_2024-09,7,2024-09,92110,14342,1477,97,75058,47380,3.84,0.1365,0.2063,89.06,769.49,759.16
7_2024-08,7,2024-08,37367,9327,1453,32,70676,43997,0.85,0.0843,0.0517,150.33,529.79,245.53
7_2024-07,7,2024-07,115483,32222,1579,131,71273,23029,6.87,0.1051,0.1506,44.79,757.98,191.65
7_2024-06,7,2024-06,469651,42617,123,173,53662,969,0.52,0.0473,0.2033,126.53,946.31,1797.65
7_2024-05,7,2024-05,294793,6810,179,272,78942,37171,5.66,0.04,0.0226,195.67,558.64,675.28
7_2024-04,7,2024-04,807537,48642,116,109,81718,4884,1.57,0.0871,0.097,99.26,840.01,669.91
7_2024-03,7,2024-03,945930,24604,1554,472,63595,30741,4.82,0.1186,0.0254,154.24,197.9,693.55
7_2024-02,7,2024-02,165983,19171,361,14,79849,25250,4.71,0.1441,0.0391,197.21,257.69,1979.37
8_2024-12,8,2024-12,432805,633,1036,494,80120,36523,6.43,0.1487,0.0833,162.87,422.81,1580.87
8_2024-12,8,2024-12,183626,45776,1725,8,7385,21807,3.31,0.1316,0.1003,135.65,884.53,746.0
8_2024-11,8,2024-11,687268,513,731,4,52965,39683,6.18,0.144,0.1789,196.5,383.66,1818.33
8_2024-10,8,2024-10,12925,9356,1092,125,6335,9102,3.82,0.0344,0.0739,178.75,176.49,1880.85
8_2024-09,8,2024-09,712839,43833,66,459,11012,36360,1.77,0.1114,0.2253,21.02,337.79,147.95
8_2024-08,8,2024-08,280338,22703,1290,425,63792,43097,2.66,0.0689,0.0184,97.13,510.58,1325.8
8_2024-07,8,2024-07,674827,4492,1626,92,98040,7368,5.84,0.1411,0.0798,197.93,478.41,565.43
8_2024-06,8,2024-06,536769,29643,481,193,38599,11420,3.24,0.0206,0.1971,103.62,663.76,726.38
8_2024-05,8,2024-05,839578,8836,962,225,79409,12495,1.19,0.1253,0.0715,17.98,325.78,1503.25
8_2024-04,8,2024-04,515392,25363,349,157,67185,22524,7.29,0.1313,0.2423,144.6,265.07,1474.92
8_2024-03,8,2024-03,327643,5040,1503,433,15320,17981,7.53,0.1078,0.2004,127.68,661.98,1031.28
8_2024-02,8,2024-02,721064,11068,14,299,18869,39644,5.5,0.1471,0.065,107.89,147.01,1224.69
9_2024-12,9,2024-12,787961,21972,1463,300,5186,20589,5.66,0.1374,0.0892,65.65,706.56,1443.78
9_2024-12,9,2024-12,638424,17902,413,41,63916,11693,5.4,0.0183,0.1237,33.3,726.57,1115.43
9_2024-11,9,2024-11,77436,31893,1315,466,53037,41579,6.97,0.1179,0.1623,198.08,377.27,1902.33
9_2024-10,9,2024-10,886926,30705,1391,424,16476,4420,2.07,0.0643,0.1972,71.53,907.24,1429.3
9_2024-09,9,2024-09,908610,9269,996,181,1093,19991,5.89,0.0571,0.1743,199.12,691.47,1278.05
9_2024-08,9,2024-08,817208,24517,519,220,54351,48795,1.65,0.1339,0.2266,147.43,443.74,1434.64
9_2024-07,9,2024-07,119430,40380,96,397,58296,40007,5.16,0.1428,0.2027,190.69,154.39,1542.3
9_2024-06,9,2024-06,420067,33060,76,168,43208,14985,6.69,0.0117,0.0721,20.16,94.44,504.7
9_2024-05,9,2024-05,330753,34887,946,427,71829,29679,2.26,0.0903,0.0276,92.0,896.87,1146.62
9_2024-04,9,2024-04,793962,45461,213,361,85590,37964,6.76,0.0274,0.1358,130.58,168.5,454.88
9_2024-03,9,2024-03,56502,21211,979,168,98212,4323,3.85,0.0482,0.2059,119.65,727.78,860.17
9_2024-02,9,2024-02,436247,21178,1687,46,76422,10560,1.85,0.0471,0.2257,169.93,491.48,291.35
10_2024-12,10,2024-12,769049,812,554,103,9886,16941,2.44,0.1236,0.1,63.41,540.66,1272.98
10_2024-12,10,2024-12,683193,5471,1957,300,32216,32944,2.05,0.0775,0.017,131.57,949.51,1235.93
10_2024-11,10,2024-11,345873,48420,157,473,14340,38735,5.65,0.1324,0.2445,96.2,398.63,546.26
10_2024-10,10,2024-10,250350,38070,1266,307,76326,22656,3.77,0.1313,0.0752,101.0,272.37,1256.11
10_2024-09,10,2024-09,931122,4020,1708,467,71447,47144,0.68,0.0192,0.087,52.94,386.49,1773.7
10_2024-08,10,2024-08,373041,25508,1458,305,79709,38165,5.48,0.0992,0.1985,157.21,576.51,128.35
10_2024-07,10,2024-07,69793,39221,961,341,87376,32629,2.07,0.0945,0.113,108.23,975.96,294.68
10_2024-06,10,2024-06,296050,20892,1777,112,76279,41483,4.53,0.0191,0.1653,180.44,894.57,1921.5
10_2024-05,10,2024-05,654044,4228,753,267,71349,45048,2.11,0.0323,0.1999,140.7,80.52,1820.35
10_2024-04,10,2024-04,586104,40672,626,472,7754,9333,2.37,0.1014,0.1337,126.11,595.74,1800.56
10_2024-03,10,2024-03,687248,1513,42,431,23793,39723,6.95,0.0865,0.046,26.04,671.86,444.98
10_2024-02,10,2024-02,502444,20023,514,258,13373,1469,6.0,0.0538,0.1548,121.03,846.73,1134.91
